FacilityName,ApplicantProprietor,FacAdd,FacAddSUB,Pcode,Telephone
Albert Road Clinic,Ramsay Health Care (Victoria) Pty Ltd,31 Albert Road,MELBOURNE,3004,03 9256 8311
Arrow Health,Springboard Recovery Pty Ltd,8 Carlisle Street,WOODEND,3442,03 9533 7888
Ballan District Health & Care,Ballan & District Soldiers? Memorial Bush Nursing Hospital and Hostel Inc,33 Cowie Street,BALLAN,3342,03 5366 7900
Beleura Private Hospital,Ramsay (Benchmark - Belura Pty Ltd,925 Nepean Highway,MORNINGTON,3931,03 5976 0888
Bellbird Private Hospital,Healthscope Operations Pty Ltd,198 Canterbury Road,BLACKBURN SOUTH,3130,03 9845 2333
Brunswick Private Hospital,Healthe Care Vaucluse Pty Ltd,82 Moreland Road,BRUNSWICK,3056,03 9385 1111
Cabrini Brighton,Cabrini Health Limited,243 New Street,BRIGHTON,3186,03 9508 8777
Cabrini Health Elsternwick Rehabilitation,Cabrini Health Limited,494 Glenhuntly Road,ELSTERNWICK,3185,03 9508 5200
Cabrini Hopetoun Rehabilitation,Cabrini Health Limited,2-6 Hopetoun Street,ELSTERNWICK,3185,03 9508 5100
Cabrini Malvern,Cabrini Health Limited,181-183 Wattletree Road,MALVERN,3144,03 9508 1222
Cabrini Prahran,Cabrini Health Limited,646 High Street,PRAHRAN EAST,3181,03 9508 1000
DAYHAB,Addiction Treatment Pty Ltd,51 Norfolk Street,GLEN WAVERLEY,3150,1800 329 422
Delmont Private Hospital,Tabaco Nominees Pty Ltd,298 Warrigal Road,GLEN IRIS,3164,03 9805 7333
Donvale Rehabilitation Hospital,Ramsay (Donvale Private Hospital Pty Ltd,1119-1121 Doncaster Road,DONVALE,3111,03 9841 1400
Dorset Rehabilitation Centre,Healthscope (Australian Hospital care (Dorset) Pty Ltd,146 Derby Street,PASCOE VALE,3044,03 8371 9477
Epping Private Hospital,Healthe Care Epping Pty Ltd,"Level 1,230 Cooper Street",Epping,3076,03 9988 9192
Epworth Cliveden,Epworth HealthCare,29 Simpson Street,EAST MELBOURNE,3002,03 9419 7122
Epworth Eastern,Epworth HealthCare,1 Arnold Street,BOX HILL,3128,03 8807 7100
Epworth Freemasons,Epworth HealthCare,"109 Albert Street and 320 Victoria Parade, East Melbourne",EAST MELBOURNE,3002,03 9483 3833
Epworth Geelong,Epworth HealthCare,1 Epworth Place,WAURN PONDS,3216,03 5271 7777
